forecast_date,target,target_end_date,location,type,quantile,value
2020-08-23,1 wk ahead cum death,2020-08-29,US,point,,181493.0
2020-08-23,2 wk ahead cum death,2020-09-05,US,point,,186222.0
2020-08-23,3 wk ahead cum death,2020-09-12,US,point,,190772.0
2020-08-23,4 wk ahead cum death,2020-09-19,US,point,,195135.0
2020-08-23,5 wk ahead cum death,2020-09-26,US,point,,199308.0
2020-08-23,6 wk ahead cum death,2020-10-03,US,point,,203286.0
2020-08-23,7 wk ahead cum death,2020-10-10,US,point,,207070.0
2020-08-23,8 wk ahead cum death,2020-10-17,US,point,,210658.0
2020-08-30,1 wk ahead cum death,2020-09-05,US,point,,187020.0
2020-08-30,2 wk ahead cum death,2020-09-12,US,point,,190765.0
2020-08-30,3 wk ahead cum death,2020-09-19,US,point,,194233.0
2020-08-30,4 wk ahead cum death,2020-09-26,US,point,,197433.0
2020-08-30,5 wk ahead cum death,2020-10-03,US,point,,200376.0
2020-08-30,6 wk ahead cum death,2020-10-10,US,point,,203075.0
2020-08-30,7 wk ahead cum death,2020-10-17,US,point,,205544.0
2020-08-30,8 wk ahead cum death,2020-10-24,US,point,,207797.0
2020-09-06,1 wk ahead cum death,2020-09-12,US,point,,192904.281501546
2020-09-06,2 wk ahead cum death,2020-09-19,US,point,,196630.04406951237
2020-09-06,3 wk ahead cum death,2020-09-26,US,point,,200100.1620244184
2020-09-06,4 wk ahead cum death,2020-10-03,US,point,,203321.96999641086
2020-09-06,5 wk ahead cum death,2020-10-10,US,point,,206304.46392109388
2020-09-06,6 wk ahead cum death,2020-10-17,US,point,,209057.92283011784
2020-09-06,7 wk ahead cum death,2020-10-24,US,point,,211593.56121689573
2020-09-06,8 wk ahead cum death,2020-10-31,US,point,,216782.68100949642
2020-09-06,1 wk ahead cum death,2020-09-12,01,point,,2225.5508622210145
2020-09-06,2 wk ahead cum death,2020-09-19,01,point,,2293.44537819593
2020-09-06,3 wk ahead cum death,2020-09-26,01,point,,2352.02703489588
2020-09-06,4 wk ahead cum death,2020-10-03,01,point,,2402.120718403065
2020-09-06,5 wk ahead cum death,2020-10-10,01,point,,2461.386725723206
2020-09-06,6 wk ahead cum death,2020-10-17,01,point,,2480.462652333827
2020-09-06,7 wk ahead cum death,2020-10-24,01,point,,2510.506325388115
2020-09-06,8 wk ahead cum death,2020-10-31,01,point,,2535.578633938956
2020-09-06,1 wk ahead cum death,2020-09-12,02,point,,44.21444803730788
2020-09-06,2 wk ahead cum death,2020-09-19,02,point,,46.18554572577806
2020-09-06,3 wk ahead cum death,2020-09-26,02,point,,47.99200988870836
2020-09-06,4 wk ahead cum death,2020-10-03,02,point,,49.63093644275506
2020-09-06,5 wk ahead cum death,2020-10-10,02,point,,51.104279741094615
2020-09-06,6 wk ahead cum death,2020-10-17,02,point,,52.41788159733857
2020-09-06,7 wk ahead cum death,2020-10-24,02,point,,53.58047036230483
